selector,layer,expert,raw_step,update_step,loss,grad_norm
causal,36,229,8,1,2.626704692840576,1.02841055393219
causal,36,229,16,2,6.339385509490967,1.0246143341064453
causal,36,229,24,3,4.58632230758667,1.115563988685608
causal,36,229,32,4,4.590055465698242,0.9119037389755249
causal,36,229,40,5,8.78982925415039,1.5433266162872314
causal,36,229,48,6,10.384114265441895,1.088683009147644
causal,36,229,56,7,8.787911415100098,1.1081782579421997
causal,36,229,64,8,4.487268924713135,0.8841968178749084
causal,36,229,72,9,2.2433817386627197,1.1241450309753418
causal,36,229,80,10,2.4332306385040283,0.9674127101898193
causal,36,229,88,11,8.179776191711426,1.3485788106918335
causal,36,229,96,12,2.690918445587158,1.1698460578918457
causal,36,229,104,13,2.6781444549560547,1.072287917137146
causal,36,229,112,14,6.003389358520508,1.0763165950775146
causal,36,229,120,15,5.390770435333252,1.1903260946273804
causal,36,229,128,16,2.4383363723754883,0.9658733010292053
causal,36,229,136,17,10.444211959838867,1.110822081565857
causal,36,229,144,18,4.949331760406494,1.3904428482055664
causal,36,229,150,19,4.936981201171875,0.8145029544830322
routing,29,194,8,1,2.654040575027466,7.813419342041016
routing,29,194,16,2,6.328249454498291,7.894139766693115
routing,29,194,24,3,4.581491470336914,8.477400779724121
routing,29,194,32,4,4.590183734893799,10.729992866516113
routing,29,194,40,5,8.664902687072754,13.504717826843262
routing,29,194,48,6,10.040189743041992,8.881363868713379
routing,29,194,56,7,8.53789234161377,9.182526588439941
routing,29,194,64,8,4.16187047958374,6.569630146026611
routing,29,194,72,9,1.963870882987976,7.501324653625488
routing,29,194,80,10,2.011281728744507,10.539040565490723
routing,29,194,88,11,7.438416481018066,11.678832054138184
routing,29,194,96,12,2.254559278488159,9.70817756652832
routing,29,194,104,13,2.408311605453491,6.889304161071777
routing,29,194,112,14,5.354193687438965,9.105653762817383
routing,29,194,120,15,4.635624408721924,7.924166679382324
routing,29,194,128,16,1.6835317611694336,8.98034954071045
routing,29,194,136,17,9.007933616638184,9.931219100952148
routing,29,194,144,18,3.2745678424835205,11.019059181213379
routing,29,194,150,19,4.423398494720459,6.588183879852295
random_global,34,56,8,1,2.634887218475342,0.5379061698913574
random_global,34,56,16,2,6.33864164352417,0.12776857614517212
random_global,34,56,24,3,4.624971389770508,0.7674431800842285
random_global,34,56,32,4,4.590060234069824,0.028195196762681007
random_global,34,56,40,5,8.78989028930664,0.04387007653713226
random_global,34,56,48,6,10.415338516235352,0.009757932275533676
random_global,34,56,56,7,8.850346565246582,0.5500558018684387
random_global,34,56,64,8,4.4872612953186035,0.030649585649371147
random_global,34,56,72,9,2.2180593013763428,0.8115487694740295
random_global,34,56,80,10,2.433199167251587,0.024965258315205574
random_global,34,56,88,11,8.245115280151367,0.039799075573682785
random_global,34,56,96,12,2.6596410274505615,0.0297714751213789
random_global,34,56,104,13,2.6010568141937256,0.5707411766052246
random_global,34,56,112,14,5.97780704498291,0.03380260616540909
random_global,34,56,120,15,5.3524556159973145,0.7294667363166809
random_global,34,56,128,16,2.579726457595825,0.030260251834988594
random_global,34,56,136,17,10.44417667388916,0.037749871611595154
random_global,34,56,144,18,5.067337989807129,0.03214934095740318
random_global,34,56,150,19,5.127803802490234,0.0118988286703825
random_same_layer,36,45,8,1,2.626704692840576,0.2544904351234436
random_same_layer,36,45,16,2,6.469404697418213,0.15716779232025146
random_same_layer,36,45,24,3,4.630671501159668,0.1773533970117569
random_same_layer,36,45,32,4,4.5900349617004395,0.3145340085029602
random_same_layer,36,45,40,5,8.789864540100098,0.4121493101119995
random_same_layer,36,45,48,6,10.415331840515137,0.7229378819465637
random_same_layer,36,45,56,7,8.91290283203125,0.6266545653343201
random_same_layer,36,45,64,8,4.487263202667236,0.14764979481697083
random_same_layer,36,45,72,9,2.2025980949401855,0.1008632704615593
random_same_layer,36,45,80,10,2.4084150791168213,0.33866778016090393
random_same_layer,36,45,88,11,8.253342628479004,0.4161266088485718
random_same_layer,36,45,96,12,2.6908628940582275,0.15589722990989685
random_same_layer,36,45,104,13,2.6778831481933594,0.9671581983566284
random_same_layer,36,45,112,14,6.0071024894714355,0.21263650059700012
random_same_layer,36,45,120,15,5.460971832275391,0.1288166344165802
random_same_layer,36,45,128,16,2.48211932182312,0.340707927942276
random_same_layer,36,45,136,17,10.444184303283691,0.2609215974807739
random_same_layer,36,45,144,18,5.025737285614014,0.3394017219543457
random_same_layer,36,45,150,19,4.9040398597717285,0.9602149128913879
