predictor,outcome,fisher_mean_rho
causal_relative_specificity,native_relative_specific_gain,0.08003229981166846
causal_relative_specificity,native_relative_target_improvement,0.1779104098910489
causal_relative_specificity,native_specific_gain,0.04621039087682361
causal_relative_specificity,native_target_improvement,0.1779104098910489
causal_relative_specificity,relative_specific_gain,0.08638716327987662
causal_relative_specificity,relative_target_improvement,0.12317361346497696
causal_relative_specificity,specific_gain,0.07408206078448437
causal_relative_specificity,target_improvement,0.12317361346497696
causal_relative_target_damage,native_relative_specific_gain,0.08651660494179948
causal_relative_target_damage,native_relative_target_improvement,0.07921025746747953
causal_relative_target_damage,native_specific_gain,0.07143470216602611
causal_relative_target_damage,native_target_improvement,0.07921025746747953
causal_relative_target_damage,relative_specific_gain,0.19967265352109576
causal_relative_target_damage,relative_target_improvement,0.08134275563454078
causal_relative_target_damage,specific_gain,0.2010354703598519
causal_relative_target_damage,target_improvement,0.08134275563454078
causal_specificity,native_relative_specific_gain,0.06017802738449131
causal_specificity,native_relative_target_improvement,0.1956270119141992
causal_specificity,native_specific_gain,0.03427283623432285
causal_specificity,native_target_improvement,0.1956270119141992
causal_specificity,relative_specific_gain,0.08172344878250042
causal_specificity,relative_target_improvement,0.15435927619020393
causal_specificity,specific_gain,0.06956565116254157
causal_specificity,target_improvement,0.15435927619020393
causal_target_damage,native_relative_specific_gain,0.08651660494179948
causal_target_damage,native_relative_target_improvement,0.07921025746747953
causal_target_damage,native_specific_gain,0.07143470216602611
causal_target_damage,native_target_improvement,0.07921025746747953
causal_target_damage,relative_specific_gain,0.19967265352109576
causal_target_damage,relative_target_improvement,0.08134275563454078
causal_target_damage,specific_gain,0.2010354703598519
causal_target_damage,target_improvement,0.08134275563454078
global_gradient_specific,native_relative_specific_gain,0.1151600957792423
global_gradient_specific,native_relative_target_improvement,0.12472816745545635
global_gradient_specific,native_specific_gain,0.09626159972040628
global_gradient_specific,native_target_improvement,0.12472816745545635
global_gradient_specific,relative_specific_gain,0.1347875246038633
global_gradient_specific,relative_target_improvement,0.12296149820112312
global_gradient_specific,specific_gain,0.12523074325006292
global_gradient_specific,target_improvement,0.12296149820112312
global_target_gradient,native_relative_specific_gain,0.2698848348522178
global_target_gradient,native_relative_target_improvement,0.40234612975455813
global_target_gradient,native_specific_gain,0.2388312639629746
global_target_gradient,native_target_improvement,0.40234612975455813
global_target_gradient,relative_specific_gain,0.32500049493368166
global_target_gradient,relative_target_improvement,0.48040545966841974
global_target_gradient,specific_gain,0.19768267971726264
global_target_gradient,target_improvement,0.48040545966841974
precise_control_gradient,native_relative_specific_gain,0.10361618211811212
precise_control_gradient,native_relative_target_improvement,0.21224412632535342
precise_control_gradient,native_specific_gain,0.10119201154232661
precise_control_gradient,native_target_improvement,0.21224412632535342
precise_control_gradient,relative_specific_gain,0.21046828980859103
precise_control_gradient,relative_target_improvement,0.3233695800817622
precise_control_gradient,specific_gain,0.13986494155898416
precise_control_gradient,target_improvement,0.3233695800817622
precise_gradient_specific,native_relative_specific_gain,0.14534330153853098
precise_gradient_specific,native_relative_target_improvement,0.16727061880434052
precise_gradient_specific,native_specific_gain,0.11973304546129482
precise_gradient_specific,native_target_improvement,0.16727061880434052
precise_gradient_specific,relative_specific_gain,0.14012767007284335
precise_gradient_specific,relative_target_improvement,0.16453236564536905
precise_gradient_specific,specific_gain,0.1312714318275769
precise_gradient_specific,target_improvement,0.16453236564536905
precise_target_gradient,native_relative_specific_gain,0.2784015335600744
precise_target_gradient,native_relative_target_improvement,0.41174279556658966
precise_target_gradient,native_specific_gain,0.2466440962915037
precise_target_gradient,native_target_improvement,0.41174279556658966
precise_target_gradient,relative_specific_gain,0.32691449503545916
precise_target_gradient,relative_target_improvement,0.4953246348334095
precise_target_gradient,specific_gain,0.2008716259172288
precise_target_gradient,target_improvement,0.4953246348334095
renorm_causal_specificity,native_relative_specific_gain,0.015242648995567236
renorm_causal_specificity,native_relative_target_improvement,0.16741311194798347
renorm_causal_specificity,native_specific_gain,-0.011193297036558731
renorm_causal_specificity,native_target_improvement,0.16741311194798347
renorm_causal_specificity,relative_specific_gain,0.07521943010413262
renorm_causal_specificity,relative_target_improvement,0.1697289228708076
renorm_causal_specificity,specific_gain,0.034585601869766995
renorm_causal_specificity,target_improvement,0.1697289228708076
renorm_causal_target_damage,native_relative_specific_gain,0.05883543238952096
renorm_causal_target_damage,native_relative_target_improvement,0.049287151877889616
renorm_causal_target_damage,native_specific_gain,0.0961042210547871
renorm_causal_target_damage,native_target_improvement,0.049287151877889616
renorm_causal_target_damage,relative_specific_gain,0.14726196504948239
renorm_causal_target_damage,relative_target_improvement,0.06711454013133551
renorm_causal_target_damage,specific_gain,0.15327803329603304
renorm_causal_target_damage,target_improvement,0.06711454013133551
routing_mass,native_relative_specific_gain,0.13475410511073804
routing_mass,native_relative_target_improvement,0.06364161463749525
routing_mass,native_specific_gain,0.14665816511239163
routing_mass,native_target_improvement,0.06364161463749525
routing_mass,relative_specific_gain,0.09927094153202326
routing_mass,relative_target_improvement,0.15320063807918508
routing_mass,specific_gain,0.0712640553960668
routing_mass,target_improvement,0.15320063807918508
routing_rate,native_relative_specific_gain,0.12903479240316754
routing_rate,native_relative_target_improvement,0.07076291319652009
routing_rate,native_specific_gain,0.14474718117326346
routing_rate,native_target_improvement,0.07076291319652009
routing_rate,relative_specific_gain,0.08675907082696474
routing_rate,relative_target_improvement,0.1593108390009971
routing_rate,specific_gain,0.05333659492282778
routing_rate,target_improvement,0.1593108390009971
target_control_gradient_cosine,native_relative_specific_gain,0.17522510624402338
target_control_gradient_cosine,native_relative_target_improvement,0.2149120955537769
target_control_gradient_cosine,native_specific_gain,0.15281309906466978
target_control_gradient_cosine,native_target_improvement,0.2149120955537769
target_control_gradient_cosine,relative_specific_gain,0.1792213835386015
target_control_gradient_cosine,relative_target_improvement,0.2451233066936226
target_control_gradient_cosine,specific_gain,0.1024240651245452
target_control_gradient_cosine,target_improvement,0.2451233066936226
