predictor,outcome,capabilities,mean_rho,median_rho,min_rho,max_rho,positive_count
causal_relative_specificity,native_relative_specific_gain,4,0.07885619215544917,0.061369750502356255,-0.0439882762812256,0.2366735438983098,2
causal_relative_specificity,native_relative_target_improvement,4,0.16874262105940474,0.21586048731648635,-0.1574888903895731,0.4007383999942193,3
causal_relative_specificity,native_specific_gain,4,0.044082152210297244,0.0184536380542264,-0.1657572598810935,0.3051785926138297,2
causal_relative_specificity,native_target_improvement,4,0.16874262105940474,0.21586048731648635,-0.1574888903895731,0.4007383999942193,3
causal_relative_specificity,relative_specific_gain,4,0.08224713892321343,0.04656097140402861,-0.1262083383673682,0.3620749512521647,2
causal_relative_specificity,relative_target_improvement,4,0.12115153066435262,0.20304380559860435,-0.1792114959605487,0.2577300074207505,3
causal_relative_specificity,specific_gain,4,0.0702199684698204,0.004752123388196951,-0.0838492575039658,0.3552248846068535,2
causal_relative_specificity,target_improvement,4,0.12115153066435262,0.20304380559860435,-0.1792114959605487,0.2577300074207505,3
causal_relative_target_damage,native_relative_specific_gain,4,0.08576530213088887,0.06171616852449485,0.0001087312165922,0.2195201402579736,4
causal_relative_target_damage,native_relative_target_improvement,4,0.07561462500116654,0.12260527108752445,-0.3973172386392924,0.4545651964689097,3
causal_relative_target_damage,native_specific_gain,4,0.07001816626316983,0.09964250922787304,-0.2085403325264593,0.2893279791233925,3
causal_relative_target_damage,native_target_improvement,4,0.07561462500116654,0.12260527108752445,-0.3973172386392924,0.4545651964689097,3
causal_relative_target_damage,relative_specific_gain,4,0.19703557508167796,0.1505634407294773,0.116133239071621,0.3708821797961363,4
causal_relative_target_damage,relative_target_improvement,4,0.08144713732197682,0.18881518379899664,-0.3563690158489662,0.3045271975388802,3
causal_relative_target_damage,specific_gain,4,0.19855270280484316,0.1909085859279634,0.0586909917888837,0.3537026475745621,4
causal_relative_target_damage,target_improvement,4,0.08144713732197682,0.18881518379899664,-0.3563690158489662,0.3045271975388802,3
causal_specificity,native_relative_specific_gain,4,0.058847947821575056,0.01932196835316425,-0.0539306834297518,0.2506785380097235,2
causal_specificity,native_relative_target_improvement,4,0.1845675654753233,0.1995739874470141,-0.0861301310889182,0.4252524180961832,2
causal_specificity,native_specific_gain,4,0.03198143469108712,0.0012846837246462475,-0.195672834789211,0.321029206104267,2
causal_specificity,native_target_improvement,4,0.1845675654753233,0.1995739874470141,-0.0861301310889182,0.4252524180961832,2
causal_specificity,relative_specific_gain,4,0.07882424869590432,0.07622849216720835,-0.1636798329773011,0.3265198434265017,2
causal_specificity,relative_target_improvement,4,0.15131327752028856,0.20154749040262854,-0.1222982693645926,0.3244563986404897,3
causal_specificity,specific_gain,4,0.06639563775334005,0.02757887136751865,-0.1274030816737719,0.3378278899520948,3
causal_specificity,target_improvement,4,0.15131327752028856,0.20154749040262854,-0.1222982693645926,0.3244563986404897,3
causal_target_damage,native_relative_specific_gain,4,0.08576530213088887,0.06171616852449485,0.0001087312165922,0.2195201402579736,4
causal_target_damage,native_relative_target_improvement,4,0.07561462500116654,0.12260527108752445,-0.3973172386392924,0.4545651964689097,3
causal_target_damage,native_specific_gain,4,0.07001816626316983,0.09964250922787304,-0.2085403325264593,0.2893279791233925,3
causal_target_damage,native_target_improvement,4,0.07561462500116654,0.12260527108752445,-0.3973172386392924,0.4545651964689097,3
causal_target_damage,relative_specific_gain,4,0.19703557508167796,0.1505634407294773,0.116133239071621,0.3708821797961363,4
causal_target_damage,relative_target_improvement,4,0.08144713732197682,0.18881518379899664,-0.3563690158489662,0.3045271975388802,3
causal_target_damage,specific_gain,4,0.19855270280484316,0.1909085859279634,0.0586909917888837,0.3537026475745621,4
causal_target_damage,target_improvement,4,0.08144713732197682,0.18881518379899664,-0.3563690158489662,0.3045271975388802,3
global_gradient_specific,native_relative_specific_gain,4,0.11220644644768074,0.1009040839174889,-0.0870037969394577,0.3340214148952029,3
global_gradient_specific,native_relative_target_improvement,4,0.12135067999842428,0.12294715567225475,-0.0596990624442719,0.2992074710934595,2
global_gradient_specific,native_specific_gain,4,0.0926754649682381,0.04089536183815545,-0.0579844168234862,0.3468955530201277,2
global_gradient_specific,native_target_improvement,4,0.12135067999842428,0.12294715567225475,-0.0596990624442719,0.2992074710934595,2
global_gradient_specific,relative_specific_gain,4,0.13403090932646733,0.13705395266946005,0.0259218058339296,0.2360939261330196,4
global_gradient_specific,relative_target_improvement,4,0.12001782725487692,0.1317232317031424,-0.0652120901482506,0.2818369357614735,2
global_gradient_specific,specific_gain,4,0.12515651897225952,0.1330423408320057,0.0839605660658727,0.150580828159154,4
global_gradient_specific,target_improvement,4,0.12001782725487692,0.1317232317031424,-0.0652120901482506,0.2818369357614735,2
global_target_gradient,native_relative_specific_gain,4,0.2617728809421953,0.2199466318760516,0.1040343175012048,0.5031639425154733,4
global_target_gradient,native_relative_target_improvement,4,0.3951677198694009,0.386295571855564,0.2520143165286949,0.5560654192377807,4
global_target_gradient,native_specific_gain,4,0.234404018672108,0.2029819554093335,0.1011323110389449,0.4305198528308201,4
global_target_gradient,native_target_improvement,4,0.3951677198694009,0.386295571855564,0.2520143165286949,0.5560654192377807,4
global_target_gradient,relative_specific_gain,4,0.3000624268366707,0.1875613028725464,0.152569358364996,0.672557743236594,4
global_target_gradient,relative_target_improvement,4,0.46334718249890616,0.42404918965239646,0.3062273314882154,0.6990630192026162,4
global_target_gradient,specific_gain,4,0.19162616584516276,0.18318799061660254,-0.0266826135523258,0.4268112956997717,3
global_target_gradient,target_improvement,4,0.46334718249890616,0.42404918965239646,0.3062273314882154,0.6990630192026162,4
precise_control_gradient,native_relative_specific_gain,4,0.1000213248579101,0.057351052587916604,-0.058465550967181,0.3438487452229882,2
precise_control_gradient,native_relative_target_improvement,4,0.21064932797562552,0.21311494184772956,0.1184231975313819,0.2979442306756611,4
precise_control_gradient,native_specific_gain,4,0.09650671138128125,0.0659000291194678,-0.1227993914366442,0.3770261787228336,2
precise_control_gradient,native_target_improvement,4,0.21064932797562552,0.21311494184772956,0.1184231975313819,0.2979442306756611,4
precise_control_gradient,relative_specific_gain,4,0.2018730379580871,0.11819019175061218,0.0820437650022549,0.489068003328869,4
precise_control_gradient,relative_target_improvement,4,0.3212303054251484,0.2922204803235628,0.2564465445079957,0.4440337165454723,4
precise_control_gradient,specific_gain,4,0.13566471643546218,0.09526057160503304,-0.0258674624254727,0.3780051849572553,3
precise_control_gradient,target_improvement,4,0.3212303054251484,0.2922204803235628,0.2564465445079957,0.4440337165454723,4
precise_gradient_specific,native_relative_specific_gain,4,0.14278704734771505,0.13833632512746008,-0.0328100397782895,0.3272855789142295,3
precise_gradient_specific,native_relative_target_improvement,4,0.161192551510084,0.1643094168842985,-0.0661089708777788,0.3822603431495178,3
precise_gradient_specific,native_specific_gain,4,0.11640217126697724,0.07533925343268555,-0.0250122538049721,0.33994243200751,2
precise_gradient_specific,native_target_improvement,4,0.161192551510084,0.1643094168842985,-0.0661089708777788,0.3822603431495178,3
precise_gradient_specific,relative_specific_gain,4,0.13922989863512825,0.14932741348747636,0.0142321695727017,0.2440325979928586,4
precise_gradient_specific,relative_target_improvement,4,0.15910236071053235,0.14830898646472268,-0.0278124840504706,0.3676039539631546,2
precise_gradient_specific,specific_gain,4,0.13105013137004218,0.1402665360653553,0.0647509394300019,0.1789165139194562,4
precise_gradient_specific,target_improvement,4,0.15910236071053235,0.14830898646472268,-0.0278124840504706,0.3676039539631546,2
precise_target_gradient,native_relative_specific_gain,4,0.2703328470525743,0.23565554475716882,0.1071835818096964,0.5028367168862632,4
precise_target_gradient,native_relative_target_improvement,4,0.4046952243582995,0.4079139551291312,0.2521231780045172,0.5508298091704185,4
precise_target_gradient,native_specific_gain,4,0.24236318551751718,0.21873934795947664,0.1038538479345032,0.4281201982166123,4
precise_target_gradient,native_target_improvement,4,0.4046952243582995,0.4079139551291312,0.2521231780045172,0.5508298091704185,4
precise_target_gradient,relative_specific_gain,4,0.30445240803619766,0.198694290435772,0.1606251075758485,0.6597959436973982,4
precise_target_gradient,relative_target_improvement,4,0.4771797830135368,0.44479313761036443,0.3113438208518649,0.7077890359815535,4
precise_target_gradient,specific_gain,4,0.19541208893499357,0.1974198330717829,-0.0230959485941721,0.4099046381905806,3
precise_target_gradient,target_improvement,4,0.4771797830135368,0.44479313761036443,0.3113438208518649,0.7077890359815535,4
renorm_causal_specificity,native_relative_specific_gain,4,0.016425444970801523,0.08441622367827475,-0.2669708224672901,0.1638401549939467,3
renorm_causal_specificity,native_relative_target_improvement,4,0.16188042008476183,0.2647599268051827,-0.2712067305536303,0.3892085572823122,3
renorm_causal_specificity,native_specific_gain,4,-0.010724119430825171,0.004764208470688258,-0.2213533507682414,0.1689284561035642,2
renorm_causal_specificity,native_target_improvement,4,0.16188042008476183,0.2647599268051827,-0.2712067305536303,0.3892085572823122,3
renorm_causal_specificity,relative_specific_gain,4,0.0693714973816962,0.008263526009394354,-0.1440208749355682,0.4049798124435643,2
renorm_causal_specificity,relative_target_improvement,4,0.16184272826196208,0.23518274214576265,-0.2324318796094389,0.4094373083657619,3
renorm_causal_specificity,specific_gain,4,0.03242145687460228,-0.034271112033114545,-0.0998805781589197,0.2981086297235579,2
renorm_causal_specificity,target_improvement,4,0.16184272826196208,0.23518274214576265,-0.2324318796094389,0.4094373083657619,3
renorm_causal_target_damage,native_relative_specific_gain,4,0.0584193167427465,0.06004796635022355,-0.0625441143626353,0.1761254486331742,3
renorm_causal_target_damage,native_relative_target_improvement,4,0.050485411523632284,0.12169759065156166,-0.4301192632617818,0.3886657280531876,3
renorm_causal_target_damage,native_specific_gain,4,0.0955580952725852,0.1230833231963702,-0.0461480010488194,0.1822137357464198,3
renorm_causal_target_damage,native_target_improvement,4,0.050485411523632284,0.12169759065156166,-0.4301192632617818,0.3886657280531876,3
renorm_causal_target_damage,relative_specific_gain,4,0.1424076727285494,0.11111550564434006,-0.0290956466810766,0.3764953263065941,2
renorm_causal_target_damage,relative_target_improvement,4,0.06352965023223114,0.07121601137130355,-0.2616558851509173,0.3733424633372348,2
renorm_causal_target_damage,specific_gain,4,0.150498367487012,0.15982281151615965,-0.0024970144539729,0.2848448613697016,3
renorm_causal_target_damage,target_improvement,4,0.06352965023223114,0.07121601137130355,-0.2616558851509173,0.3733424633372348,2
routing_mass,native_relative_specific_gain,4,0.13376196724521883,0.102734632685984,0.0649913405705667,0.2645872630383407,4
routing_mass,native_relative_target_improvement,4,0.06332366306254493,0.0966205322799214,-0.0905826455492151,0.150636233239552,3
routing_mass,native_specific_gain,4,0.1459290251387355,0.1440357570252713,0.0533175937323302,0.2423269927720692,4
routing_mass,native_target_improvement,4,0.06332366306254493,0.0966205322799214,-0.0905826455492151,0.150636233239552,3
routing_mass,relative_specific_gain,4,0.0963309287824759,0.1101632116711406,-0.1656840369185775,0.3306813287061999,3
routing_mass,relative_target_improvement,4,0.15066340249236437,0.18224201841054266,-0.0651233495142728,0.303292922662645,3
routing_mass,specific_gain,4,0.06986303837345713,0.07459499151288995,-0.1369992835881163,0.2672614540561649,3
routing_mass,target_improvement,4,0.15066340249236437,0.18224201841054266,-0.0651233495142728,0.303292922662645,3
routing_rate,native_relative_specific_gain,4,0.1279349444764211,0.0934437205374631,0.0589453208097448,0.2659070160210134,4
routing_rate,native_relative_target_improvement,4,0.07050149178349588,0.08966297014882854,-0.0401922031263408,0.1428722299626672,3
routing_rate,native_specific_gain,4,0.1437677077347611,0.13899749662237576,0.0521525743164313,0.2449232633778617,4
routing_rate,native_target_improvement,4,0.07050149178349588,0.08966297014882854,-0.0401922031263408,0.1428722299626672,3
routing_rate,relative_specific_gain,4,0.08382024460506932,0.08984355988313605,-0.1807874387669385,0.3363812974209437,3
routing_rate,relative_target_improvement,4,0.15698148490675506,0.164369030617797,-0.0115381698770856,0.3107260482685119,3
routing_rate,specific_gain,4,0.0520994880693014,0.0506504067919326,-0.1558551305188927,0.2629522692122331,3
routing_rate,target_improvement,4,0.15698148490675506,0.164369030617797,-0.0115381698770856,0.3107260482685119,3
target_control_gradient_cosine,native_relative_specific_gain,4,0.1727504691007028,0.1952859270242432,-0.0235946740005164,0.3240246963548412,3
target_control_gradient_cosine,native_relative_target_improvement,4,0.21307490676773022,0.23835217334630004,0.0672335501227235,0.3083617302555973,4
target_control_gradient_cosine,native_specific_gain,4,0.15148107872572028,0.1309667897268355,0.0540394146463441,0.289951320802866,4
target_control_gradient_cosine,native_target_improvement,4,0.21307490676773022,0.23835217334630004,0.0672335501227235,0.3083617302555973,4
target_control_gradient_cosine,relative_specific_gain,4,0.17777958392749837,0.18845734950793908,0.0591594176952384,0.2750442189988769,4
target_control_gradient_cosine,relative_target_improvement,4,0.2398211649077224,0.2830073815908103,-0.0050125499281122,0.3982824463773812,3
target_control_gradient_cosine,specific_gain,4,0.10056946912202915,0.0895859442103208,-0.0642706173858197,0.2873766054532947,3
target_control_gradient_cosine,target_improvement,4,0.2398211649077224,0.2830073815908103,-0.0050125499281122,0.3982824463773812,3
