layer,target_delta_nll,control_delta_nll,causal_specificity
1,0.00763828307390213,-0.031301286071538925,0.00763828307390213
2,0.014607750810682774,-0.025094421580433846,0.014607750810682774
3,0.00557999312877655,-0.019190970808267593,0.00557999312877655
4,0.004542048089206219,-0.008322251960635185,0.004542048089206219
5,0.006493790075182915,0.020118732005357742,-0.008595258928835392
6,0.03651636838912964,0.011822612956166267,0.027649408672004938
7,-0.004056727513670921,-0.033643487840890884,-0.004056727513670921
8,0.11278098076581955,-0.018662553280591965,0.11278098076581955
9,-0.0014928905293345451,0.006511533632874489,-0.006376540753990412
10,-0.0022290274500846863,0.027987074106931686,-0.02321933303028345
11,-0.00018123537302017212,-0.01780584640800953,-0.00018123537302017212
12,0.00975219625979662,0.02522166818380356,-0.00916405487805605
13,0.0020002033561468124,-0.01471701543778181,0.0020002033561468124
14,-0.0033776452764868736,-0.019778111949563026,-0.0033776452764868736
15,-0.007555046118795872,-0.09188666939735413,-0.007555046118795872
16,0.011156694032251835,0.020710211247205734,-0.004375964403152466
17,0.04542356729507446,0.037238605320453644,0.01749461330473423
18,0.019317317754030228,0.005208254791796207,0.015411126660183072
19,0.024856219068169594,-0.08738137781620026,0.024856219068169594
20,-0.007129199802875519,-0.09742748737335205,-0.007129199802875519
21,0.043369341641664505,-0.04129307344555855,0.043369341641664505
22,-0.013292020186781883,-0.07683806866407394,-0.013292020186781883
23,-0.00533626414835453,-0.014542853459715843,-0.00533626414835453
24,0.035313963890075684,0.03201742097735405,0.011300898157060146
25,0.014276538044214249,-0.040490128099918365,0.014276538044214249
26,0.03785135596990585,-0.029672939330339432,0.03785135596990585
27,0.015328693203628063,0.006524188444018364,0.01043555187061429
28,0.02695678547024727,-0.045302048325538635,0.02695678547024727
29,0.013344901613891125,0.1360102742910385,-0.08866280410438776
30,0.0036953743547201157,0.0392707884311676,-0.025757716968655586
31,0.010210620239377022,0.012460601516067982,0.0008651691023260355
32,0.020766746252775192,-0.026490215212106705,0.020766746252775192
33,-0.0016533797606825829,-0.0411258228123188,-0.0016533797606825829
34,-0.0004048347473144531,-0.008870568126440048,-0.0004048347473144531
35,0.014345270581543446,0.017156902700662613,0.001477593556046486
36,0.1200670599937439,0.14751887321472168,0.009427905082702637
37,0.010915742255747318,-0.01743306778371334,0.010915742255747318
38,0.1310076117515564,0.25306615233421326,-0.058792002499103546
39,0.007613133639097214,0.010243350639939308,-6.937934085726738e-05
