layer,attention_target_grad_l2,attention_control_grad_l2,attention_grad_specific,attention_grad_ratio
0,0.42417506002636335,0.8041250997271536,-0.17891876476900187,0.5274988433637527
1,0.432497239329714,0.8069820120378738,-0.1727392696986913,0.5359440890596702
2,0.35850910120564944,0.7167519554022779,-0.17905486534605902,0.5001857316230628
3,0.3787516777608083,0.7719540439946156,-0.20021385523515345,0.4906401886314355
4,0.3075283754905564,0.629858353605675,-0.16486538971369985,0.48825005452352443
5,0.33472303256703156,0.6545308477628614,-0.15617510325511447,0.5113938230880622
6,0.3583136582991301,0.6756927481895524,-0.14845590284303423,0.5302908152539206
7,0.4169354439258915,0.7990204805679828,-0.1823299165000956,0.5218082065042834
8,0.32261925859360396,0.6291780462022759,-0.149264276058103,0.512763057357808
9,0.45976341464986825,0.9684986376751578,-0.26661056360650004,0.47471766790817305
10,0.4362114745258296,0.961274578319104,-0.2847444592134984,0.4537844694573535
11,0.4776874391685391,1.1240466966385096,-0.36534758331034317,0.42497116943330787
12,0.6184577937071013,1.41731735379015,-0.44453022163551126,0.43635801964380283
13,0.6589404964932478,1.6083881792437351,-0.5473506379395535,0.4096899647712359
14,0.7515511478688922,2.000686192516643,-0.7489634965185902,0.375646690960139
15,0.9893331197786709,2.821303692730569,-1.126644649769256,0.3506652340644706
16,1.367591400430723,3.783725527182339,-1.4702027449560313,0.36144043499074263
17,1.1627895480440662,3.125104911950505,-1.1810391359188128,0.37208016396414345
18,1.396667561820505,3.65828899846914,-1.3470491870313501,0.381781636826554
19,1.5043857478870006,3.9697138149155333,-1.4728996132996495,0.37896579401621966
20,1.934634134933438,5.137439332033014,-1.9184453640913224,0.376575568079259
21,1.468891238462631,3.900746642069419,-1.4566687430894334,0.37656668664924625
22,1.2357997367798645,3.3926057874817865,-1.3086546038314755,0.36426269781753556
23,1.4695212185896027,3.6099128982888375,-1.2379134551270257,0.40707941160734784
24,1.6166408923477071,4.338162430410921,-1.6369809304604832,0.37265568504639934
25,1.2830119462337908,3.0318776886723033,-0.9908963202704368,0.4231740452548448
26,1.1298700033531694,2.7874439682909946,-0.9607129728650767,0.4053426781688806
27,1.0963566441028478,2.7732451788615275,-0.9835772400432978,0.39533347158022597
28,1.1773557354798578,2.8077768721572967,-0.9284769186381148,0.41931955033693324
29,0.8936252962158092,1.9335675709811415,-0.5565503820200469,0.4621639862122319
30,1.0226653294637442,2.1212965936775574,-0.5683071157944237,0.48209445699921294
31,0.8430262348913762,1.877231485960586,-0.5648973795790635,0.4490795307854894
32,0.8942905501982374,2.4005909798100293,-0.9061526846592844,0.37252933036873886
33,0.5442474252208842,1.3481063754475757,-0.4668323563647976,0.40371252234437993
34,0.6743880972019091,1.5760581673941032,-0.5076555283436682,0.42789543631916355
35,0.6544584900261678,1.528337370073478,-0.49179453752894053,0.4282159834868627
36,0.9662488212430211,2.4117012450852946,-0.8425271125709497,0.4006502974660309
37,1.1451108721188568,3.170180671549319,-1.2325246315431324,0.3612131265562417
38,0.7948053213615588,2.2261988426512214,-0.8748438106268571,0.3570235084726993
39,1.014675106986787,2.5933053428329207,-0.9303039001379036,0.3912671177694667
