layer,expert,target_delta_nll,control_delta_nll,causal_specificity
6,8,0.0043134670704603195,-0.004079567268490791,0.0043134670704603195
6,12,0.004043125547468662,0.008111224509775639,-0.0020402928348630667
6,17,0.00611167773604393,0.0012814244255423546,0.005150609416887164
6,20,0.008924521505832672,0.013406702317297459,-0.0011305052321404219
6,29,0.004094167612493038,-0.006516743451356888,0.004094167612493038
6,35,0.0035641659051179886,0.005957426503300667,-0.0009039039723575115
6,47,0.004193339496850967,0.0054725464433431625,8.89296643435955e-05
6,58,0.001347624696791172,0.007468097843229771,-0.004253448685631156
6,70,4.257820546627045e-05,0.013049183413386345,-0.009744309354573488
6,73,0.010469170287251472,-0.004783079028129578,0.010469170287251472
6,77,0.0041012875735759735,-0.0015011243522167206,0.0041012875735759735
6,79,-0.0009682979434728622,0.011892987415194511,-0.009888038504868746
6,88,0.00538773275911808,-0.0003658784553408623,0.00538773275911808
6,91,-0.00427556037902832,0.016232023015618324,-0.016449577640742064
6,97,0.002731155604124069,0.0037324074655771255,-6.814999505877495e-05
6,114,0.0011543510481715202,-0.00034984108060598373,0.0011543510481715202
6,131,0.003999293781816959,-0.006112092174589634,0.003999293781816959
6,145,0.0022472916170954704,0.01179694477468729,-0.006600416963919997
6,146,0.0009348085150122643,0.005661963485181332,-0.0033116640988737345
6,148,0.0058588264510035515,-0.005609719082713127,0.0058588264510035515
6,173,0.006578958593308926,-0.007187261246144772,0.006578958593308926
6,176,0.005174307152628899,-0.0012292861938476562,0.005174307152628899
6,194,0.0008266344666481018,0.015610728412866592,-0.010881411843001842
6,200,0.0033779172226786613,-0.0003976374864578247,0.0033779172226786613
6,205,0.001165233552455902,-0.001986127346754074,0.001165233552455902
6,214,0.003811766393482685,0.002051173709332943,0.002273386111482978
6,219,0.008722124621272087,0.0003466065973043442,0.008462169673293829
6,221,0.001876133494079113,0.00042820442467927933,0.0015549801755696535
6,224,0.007257962599396706,0.0022512730211019516,0.005569507833570242
6,240,0.003460632637143135,-0.0019458988681435585,0.003460632637143135
8,4,0.005638661794364452,0.003050164319574833,0.0033510385546833277
8,10,0.004529298283159733,0.00667854119092226,-0.0004796076100319624
8,15,0.0007258504629135132,-0.013035731390118599,0.0007258504629135132
8,20,0.002690538763999939,0.005367397330701351,-0.0013350092340260744
8,21,0.004690159112215042,0.0009492943063378334,0.003978188382461667
8,24,0.00017790868878364563,0.005137147381901741,-0.00367495184764266
8,29,0.002011425793170929,0.01358470693230629,-0.008177104406058788
8,34,0.0056677320972085,-0.006015030667185783,0.0056677320972085
8,72,0.0030143866315484047,0.0008779177442193031,0.0023559483233839273
8,74,0.001353721134364605,0.0009006531909108162,0.0006782312411814928
8,80,0.0012374669313430786,0.013895981945097446,-0.009184519527480006
8,87,0.0021277936175465584,0.006967139430344105,-0.00309756095521152
8,93,0.002644859254360199,-0.006860376335680485,0.002644859254360199
8,102,0.0062120407819747925,0.011858002282679081,-0.0026814609300345182
8,118,0.002765209414064884,0.008688211441040039,-0.003750949166715145
8,119,-0.00015045888721942902,-0.0014309501275420189,-0.00015045888721942902
8,128,0.002033814787864685,0.0029091518372297287,-0.00014804909005761147
8,136,-0.0005888035520911217,-0.001763841137290001,-0.0005888035520911217
8,145,0.008698444813489914,0.002293568104505539,0.00697826873511076
8,150,0.0048208702355623245,-0.003951328806579113,0.0048208702355623245
8,177,0.0028015049174427986,-0.0012126164510846138,0.0028015049174427986
8,181,0.001071123406291008,-0.005091623403131962,0.001071123406291008
8,184,0.10941199213266373,0.0003240518271923065,0.1091689532622695
8,194,0.0038685770705342293,-0.0016998080536723137,0.0038685770705342293
8,204,0.005841991864144802,0.004438648000359535,0.0025130058638751507
8,217,0.0007980158552527428,0.009737125597894192,-0.006504828343167901
8,221,0.001471756026148796,0.006231914274394512,-0.003202179679647088
8,248,0.002088039182126522,0.008475181646645069,-0.00426834705285728
8,254,-0.0005080960690975189,0.0017048362642526627,-0.001786723267287016
17,0,-0.0004876554012298584,-0.0010959189385175705,-0.0004876554012298584
17,14,-0.022053956985473633,0.004580377601087093,-0.025489240186288953
17,15,0.0036406489089131355,-0.005238449200987816,0.0036406489089131355
17,16,0.0029425527900457382,-0.010395810939371586,0.0029425527900457382
17,20,0.0005736974999308586,-0.005909624509513378,0.0005736974999308586
17,22,0.0007153255864977837,0.0014966754242777824,-0.00040718098171055317
17,58,-0.0031888214871287346,-0.004150466062128544,-0.0031888214871287346
17,63,0.0013364339247345924,-0.0015362473204731941,0.0013364339247345924
17,68,-0.0005516344681382179,0.0009636161848902702,-0.0012743466068059206
17,69,-0.003212595358490944,-0.0040588537231087685,-0.003212595358490944
17,85,0.0018193116411566734,0.006581148132681847,-0.0031165494583547115
17,88,0.037034668028354645,-0.008225967176258564,0.037034668028354645
17,91,0.0004966845735907555,0.0017551332712173462,-0.0008196653798222542
17,93,0.00015324167907238007,-0.0031005805358290672,0.00015324167907238007
17,102,0.0008257394656538963,-0.002088608220219612,0.0008257394656538963
17,106,0.00023343507200479507,0.0012839827686548233,-0.0007295520044863224
17,112,0.0050917696207761765,-0.0018766885623335838,0.0050917696207761765
17,117,-0.0021626511588692665,-0.002713216468691826,-0.0021626511588692665
17,118,-0.0014082454144954681,-0.0025339284911751747,-0.0014082454144954681
17,133,0.003924031741917133,-0.0013316655531525612,0.003924031741917133
17,166,-0.0016049928963184357,0.0031103314831852913,-0.003937741508707404
17,171,-0.00015143584460020065,-0.003581528551876545,-0.00015143584460020065
17,197,-0.004478799179196358,0.0007247449830174446,-0.005022357916459441
17,200,-0.0027472246438264847,-0.0013288352638483047,-0.0027472246438264847
17,210,-0.0018731774762272835,0.005003550089895725,-0.005625840043649077
17,214,0.0021296432241797447,0.0058441925793886185,-0.002253501210361719
17,218,0.0011659963056445122,-0.0025522224605083466,0.0011659963056445122
17,254,0.004697838798165321,0.001056356355547905,0.0039055715315043926
