layer,expert,precise_target_grad_l2,precise_control_grad_l2,precise_grad_dot,precise_grad_cosine,precise_grad_specific,precise_grad_ratio
4,223,0.2181246474305558,0.0128222419406435,9.245763976650778e-07,0.0003305781105705,0.2085079659750731,17.01142814363374
8,184,0.4983432860108859,0.0154315884409811,3.23645463140565e-05,0.0042085285694086,0.4867695946801501,32.29371285299179
16,52,0.2077362723835935,0.0062508857879802,-3.216346954104665e-06,-0.0024769029628305,0.2030481080426083,33.233093580083136
16,160,0.3401860727300915,0.1650716168275678,0.0018122412730008,0.032272089284537,0.2163823601094155,2.060839284583888
17,88,0.4351875208331882,0.6714690889634709,0.0227148933336138,0.0777335037901461,-0.068414295889415,0.6481125162504913
18,43,0.5079970097960678,1.5478849870701057,0.1251880601048469,0.159207332464513,-0.6529167305065116,0.328187826640334
18,230,0.4309082463510291,0.1092089345993806,0.0011004675761796,0.0233848331473385,0.3490015454014937,3.945723378108364
19,34,0.4337993684151599,0.0803859437987362,-0.0001669335952101,-0.0047871244322922,0.3735099105661078,5.396457986434482
19,167,0.3412463304650728,1.0885138652603576,0.0899730138480663,0.2422201747219808,-0.4751390684801955,0.3134974586503203
20,47,0.3943021363976267,0.8478301261084803,0.0819888263940811,0.2452543365978573,-0.2415704581837335,0.4650720990618709
20,76,0.4170156646480368,0.1534714106109883,0.0001588646919117,0.0024822614976052,0.3019121066897955,2.717220510224866
20,219,0.5356624395111806,1.3971796612401288,0.1700164303183555,0.2271681512359613,-0.512222306418916,0.3833883747172115
21,36,0.4578006088613383,1.4522327021538728,0.082519594579935,0.1241207832441354,-0.6313739177540661,0.3152391542912083
21,183,0.5189630800420871,0.2257809477279382,0.000838287291117,0.0071543326262216,0.3496273692461334,2.298524677401608
21,206,0.2393381373194003,0.0195646172350767,1.1288274890830508e-05,0.0024107063635394,0.2246646743930928,12.233213378591726
22,204,0.3882262248495932,0.9828458443763348,0.0674504023045301,0.1767723232732365,-0.348908158432658,0.3950021532578664
23,209,0.2669327463929408,0.0336481123719894,-1.3190088793635368e-05,-0.001468537897821,0.2416966621139487,7.933067490799799
24,52,0.3537639883564666,0.4108952177799012,6.415473762899637e-05,0.0004413509085391,0.0455925750215407,0.8609591278940165
24,153,0.4626651890982006,1.255409884066807,0.1242277938872575,0.2138781430512944,-0.4788922239519046,0.3685371566448581
24,208,0.2899262758073649,7.191089928407016e-08,-6.381412759326466e-11,-0.0030607970883087,0.2899262218741904,4031687.087864039
24,235,0.3175808274176411,0.0102223648441134,-1.6258923096756916e-07,-5.008251431268853e-05,0.309914053784556,31.067256180887888
25,129,0.2334929438513754,0.0438350486259034,4.79292339150561e-05,0.0046827959496421,0.2006166573819477,5.326626778464909
25,244,0.2950313882676924,0.0001260317345623,1.1658116472190728e-07,0.0031353083103823,0.2949368644667706,2340.929345701444
26,251,0.2313375664858125,0.0397556043418513,2.3305580725718755e-05,0.002534051323155,0.201520863229424,5.81899257500309
27,247,0.4246700643563076,0.0797643737153069,0.0005796540644951,0.0171122957647396,0.3648467840698274,5.324056901226422
30,229,0.7993377890665841,2.2213041558269024,0.7406955352053046,0.4171587454899582,-0.8666403278035927,0.3598506701432172
