epoch,update_step,raw_step,accumulated_examples,loss,grad_norm
0,1,8,8,0.8353211283683777,1.3240538835525513
0,2,16,8,0.7305643558502197,1.5302802324295044
0,3,24,8,0.7097276449203491,1.3010162115097046
0,4,32,8,1.3701748847961426,1.3244081735610962
0,5,40,8,1.2280057668685913,1.1352872848510742
0,6,48,8,1.118156909942627,1.381597876548767
0,7,56,8,0.4733450412750244,1.2714325189590454
0,8,64,8,0.7311224937438965,1.2149441242218018
0,9,72,8,1.3116611242294312,1.3240245580673218
0,10,80,8,0.912810206413269,1.2804630994796753
0,11,88,8,0.7597153782844543,0.9612509608268738
0,12,96,8,0.9477636814117432,1.268017292022705
0,13,104,8,0.7854428291320801,1.2688097953796387
0,14,112,8,0.4086853861808777,1.217065691947937
0,15,120,8,1.0653176307678223,1.1949682235717773
0,16,128,8,0.8279841542243958,1.2602742910385132
0,17,136,8,0.8648954629898071,1.2955505847930908
0,18,144,8,0.9962009787559509,1.352541208267212
0,19,152,8,0.8396272659301758,1.1408499479293823
0,20,160,8,0.7244165539741516,0.948996901512146
0,21,168,8,0.5340312123298645,1.1742137670516968
0,22,176,8,1.3303192853927612,1.0436798334121704
0,23,184,8,0.7591205835342407,0.8555594086647034
0,24,192,8,1.0150164365768433,1.181429147720337
0,25,200,8,0.6271787285804749,0.805573046207428
0,26,208,8,1.0710216760635376,1.1982091665267944
0,27,216,8,0.6656808853149414,0.7604554295539856
0,28,224,8,0.6295914053916931,0.9673521518707275
0,29,232,8,0.7780823111534119,1.2772365808486938
0,30,240,8,0.9602543115615845,1.0323004722595215
0,31,248,8,1.2263169288635254,1.1199078559875488
0,32,256,8,0.7404378652572632,0.9251489639282227
1,33,264,8,0.5866625308990479,1.067211627960205
1,34,272,8,0.7142523527145386,0.8215669989585876
1,35,280,8,0.560248613357544,1.1427500247955322
1,36,288,8,0.6985301375389099,0.9963335990905762
1,37,296,8,0.8902192115783691,0.9243554472923279
1,38,304,8,0.8128077983856201,1.1209756135940552
1,39,312,8,0.5244118571281433,0.9830977916717529
1,40,320,8,0.6549984216690063,1.1081666946411133
1,41,328,8,0.5416994690895081,0.9794934391975403
1,42,336,8,1.4748846292495728,0.851448655128479
1,43,344,8,0.6060549020767212,0.8591890931129456
1,44,352,8,0.6814144253730774,0.931178629398346
1,45,360,8,0.7576297521591187,0.9135453104972839
1,46,368,8,1.1058143377304077,0.8960492610931396
1,47,376,8,1.0125709772109985,1.081281065940857
1,48,384,8,0.5929052829742432,0.8587947487831116
1,49,392,8,1.0206513404846191,0.833640992641449
1,50,400,8,0.57997727394104,1.129402756690979
1,51,408,8,0.74384605884552,0.8865934014320374
1,52,416,8,0.6965731382369995,0.9888919591903687
1,53,424,8,0.4360572397708893,0.9023308753967285
1,54,432,8,0.779125988483429,0.9753672480583191
1,55,440,8,0.4492250680923462,0.854134738445282
1,56,448,8,0.7032895684242249,1.0179221630096436
1,57,456,8,0.5025187730789185,0.8376445770263672
1,58,464,8,0.5387614369392395,0.9444520473480225
1,59,472,8,0.6010100841522217,0.8788517713546753
1,60,480,8,0.9150485992431641,0.9615340828895569
1,61,488,8,0.738620400428772,0.948523759841919
1,62,496,8,1.0048842430114746,0.6976978182792664
1,63,504,8,0.43991705775260925,1.0249537229537964
1,64,512,8,0.37828779220581055,1.0188682079315186
