layer,expert,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib,selection_supervised_positions,selection_supervised_selected_hits,selection_supervised_selected_rate,selection_supervised_routing_mass,routing_rank,global_target_grad_rank,global_grad_specific_rank
1,0,0.0010650412878021,0.0011361154029145,0.0002129547356162,0.9374411121726438,66.35160732269287,4051,215,0.05307331523080721,0.005195717492594421,1683,8665,3743
1,1,0.0012221033684909,0.0016032992862164,1.9628903828561303e-05,0.7622428190638313,66.35160732269287,4051,143,0.03529992594421131,0.0033730097506788448,2661,8548,3821
1,2,0.0025652020704001,0.0035176633391529,-7.30454339645803e-05,0.72923467152732,66.35160732269287,4051,31,0.007652431498395458,0.001240169286904468,5246,7603,4133
1,3,0.0065198503434658,0.0177394654601812,-0.0067847487516701,0.3675336417398262,66.35160732269287,4051,258,0.06368797827696865,0.0070837543970624535,1189,5582,6008
1,4,0.0015380267286673,0.0060711563564836,-0.0030153405386954,0.2533334076911803,66.35160732269287,4051,164,0.040483831152801776,0.003858157129412491,2333,8313,5178
1,5,0.0017389769200235,0.0053628617897629,-0.0022831694222986,0.3242628633500839,66.35160732269287,4051,119,0.02937546284867934,0.0028053571841829177,3148,8173,4989
1,6,0.008631438948214,0.0014584343880414,0.0075376131571829,5.918290883065887,66.35160732269287,4051,220,0.0543075783757097,0.00575655991576154,1514,4884,1973
1,7,0.0004600427637342,0.0003890467341989,0.000168257713085,1.1824871464324376,66.35160732269287,4051,27,0.0066650209824734635,0.0005859133932979511,6715,9163,3757
1,8,0.0091092567890882,0.037808820605278,-0.0192473586648702,0.2409294086146577,66.35160732269287,4051,225,0.055541841520612194,0.007103280825722044,1183,4747,7386
1,9,0.0015836072852835,0.0027324261609464,-0.0004657123354263,0.5795608706057028,66.35160732269287,4051,98,0.024191557640088866,0.002483834045606023,3471,8276,4327
1,10,0.0277080982923507,0.018931932747364,0.0135091487318277,1.463564162235105,66.35160732269287,4051,91,0.022463589237225377,0.004219757660145643,2131,1989,1444
1,11,0.0032620115671306,0.0089586330577731,-0.0034569632261991,0.364119341168486,66.35160732269287,4051,99,0.024438410269069365,0.0028689386108368305,3090,7151,5285
1,12,0.0385064147412776,0.0171570070087909,0.0256386594846844,2.24435501595956,66.35160732269287,4051,190,0.04690199950629474,0.008502915946679832,937,1386,896
1,13,0.019979054108262,0.0613800473511219,-0.0260559814050793,0.3254975349505231,66.35160732269287,4051,160,0.03949642063687978,0.004581358190878795,1941,2725,7807
1,14,0.0009835386881604,0.0025139215867966,-0.000901902501937,0.3912368201676943,66.35160732269287,4051,45,0.01110836830412244,0.0010776901150950382,5571,8740,4508
1,15,0.0151722319424152,0.0013375614071264,0.0141690608870703,11.343204020566716,66.35160732269287,4051,88,0.021723031350283882,0.0028049353168970626,3149,3393,1399
1,16,0.0117297396063804,0.0060199531726539,0.00721477472689,1.948476884789603,66.35160732269287,4051,108,0.026660083929893854,0.0048635271383608986,1813,4056,2021
1,17,0.0066513558849692,0.0663096234202385,-0.0430808616802096,0.1003075502738996,66.35160732269287,4051,38,0.009380399901258949,0.0008696492764132313,5999,5538,8474
1,18,0.0488530918955802,0.011352552101016,0.0403386778198182,4.303269560586708,66.35160732269287,4051,523,0.1291039249568008,0.01701667990928166,413,1027,536
1,19,0.0106989331543445,0.0049048839136958,0.0070202702190726,2.1812816246861324,66.35160732269287,4051,600,0.1481115773882992,0.02193589352937546,304,4298,2059
1,20,0.0016805657651275,0.0282633174210786,-0.0195169223006814,0.0594610229234703,66.35160732269287,4051,168,0.04147124166872377,0.00404480327002592,2226,8216,7402
1,21,0.0019260414410382,0.0038165957666933,-0.0009364053839817,0.5046490533112701,66.35160732269287,4051,62,0.015304862996790916,0.0015635004281350283,4659,8036,4524
1,22,0.0089553389698266,0.0387364216148853,-0.0200969772413373,0.2311865318544091,66.35160732269287,4051,35,0.008639842014317452,0.0010214009658109108,5688,4790,7438
1,23,0.0008486974984407,0.0032831907738,-0.0016136955819092,0.2584977714225083,66.35160732269287,4051,50,0.012342631449024932,0.0011531440925080228,5421,8843,4776
