layer,expert,global_target_grad_bf16,global_control_grad_bf16,global_grad_specific_bf16,global_grad_ratio_bf16,scan_peak_gpu_gib
1,0,0.0010650412878021598,0.0011361154029145837,0.00021295473561622202,0.9374411121726438,66.35160732269287
1,1,0.0012221033684909344,0.0016032992862164974,1.9628903828561306e-05,0.7622428190638313,66.35160732269287
1,2,0.002565202070400119,0.003517663339152932,-7.30454339645803e-05,0.72923467152732,66.35160732269287
1,3,0.006519850343465805,0.017739465460181236,-0.006784748751670122,0.3675336417398262,66.35160732269287
1,4,0.0015380267286673188,0.006071156356483698,-0.0030153405386954546,0.2533334076911803,66.35160732269287
1,5,0.0017389769200235605,0.005362861789762974,-0.00228316942229867,0.3242628633500839,66.35160732269287
1,6,0.008631438948214054,0.0014584343880414963,0.007537613157182932,5.918290883065887,66.35160732269287
1,7,0.00046004276373423636,0.0003890467341989279,0.00016825771308504045,1.1824871464324376,66.35160732269287
1,8,0.00910925678908825,0.037808820605278015,-0.019247358664870262,0.24092940861465778,66.35160732269287
1,9,0.001583607285283506,0.0027324261609464884,-0.00046571233542636037,0.5795608706057028,66.35160732269287
1,10,0.02770809829235077,0.018931932747364044,0.013509148731827736,1.463564162235105,66.35160732269287
1,11,0.003262011567130685,0.008958633057773113,-0.00345696322619915,0.36411934116848604,66.35160732269287
1,12,0.038506414741277695,0.01715700700879097,0.025638659484684467,2.24435501595956,66.35160732269287
1,13,0.019979054108262062,0.0613800473511219,-0.026055981405079365,0.32549753495052314,66.35160732269287
1,14,0.000983538688160479,0.0025139215867966413,-0.0009019025019370019,0.3912368201676943,66.35160732269287
1,15,0.015172231942415237,0.0013375614071264863,0.014169060887070373,11.343204020566716,66.35160732269287
1,16,0.011729739606380463,0.0060199531726539135,0.0072147747268900275,1.948476884789603,66.35160732269287
1,17,0.0066513558849692345,0.0663096234202385,-0.04308086168020964,0.10030755027389965,66.35160732269287
1,18,0.04885309189558029,0.011352552101016045,0.04033867781981826,4.303269560586708,66.35160732269287
1,19,0.010698933154344559,0.004904883913695812,0.0070202702190726995,2.1812816246861324,66.35160732269287
1,20,0.0016805657651275396,0.028263317421078682,-0.019516922300681472,0.05946102292347036,66.35160732269287
1,21,0.001926041441038251,0.0038165957666933537,-0.0009364053839817643,0.5046490533112701,66.35160732269287
1,22,0.008955338969826698,0.03873642161488533,-0.0200969772413373,0.23118653185440918,66.35160732269287
1,23,0.0008486974984407425,0.0032831907738000154,-0.001613695581909269,0.25849777142250835,66.35160732269287
1,24,0.0006910607917234302,0.0009133651037700474,6.036963895894587e-06,0.7566095837407917,66.35160732269287
1,25,0.0035265779588371515,0.005971955601125956,-0.0009523887420073152,0.5905231374429049,66.35160732269287
1,26,0.009433555416762829,0.007105509750545025,0.00410442310385406,1.3276395004188957,66.35160732269287
1,27,0.013541905209422112,0.00870200339704752,0.007015402661636472,1.5561824777568491,66.35160732269287
1,28,0.03428684547543526,0.03107832930982113,0.01097809849306941,1.1032396604246342,66.35160732269287
1,29,0.0017129979096353054,7.116299093468115e-05,0.0016596256664342945,24.071471182769077,66.35160732269287
1,30,0.0008344957605004311,0.0023302817717194557,-0.0009132155682891607,0.35810937984832986,66.35160732269287
1,31,0.048311129212379456,0.0616777129471302,0.002052844502031803,0.783283408271124,66.35160732269287
1,32,0.0013885650550946593,0.0031253877095878124,-0.0009554757270962,0.4442856962643853,66.35160732269287
1,33,0.00236593303270638,0.004326666239649057,-0.0008790666470304132,0.5468258703383273,66.35160732269287
1,34,0.0008788418490439653,0.000802787602879107,0.0002767511468846351,1.0947376925071597,66.35160732269287
1,35,0.0034662317484617233,0.009479517117142677,-0.0036434060893952847,0.365654885714354,66.35160732269287
1,36,0.0011010891757905483,0.003269083332270384,-0.0013507233234122396,0.3368189377690232,66.35160732269287
1,37,0.0025228853337466717,0.00260531110689044,0.0005689020035788417,0.968362406357485,66.35160732269287
1,38,0.000564269837923348,0.0018164985813200474,-0.0007981040980666876,0.31063599136017916,66.35160732269287
